|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  20.1201281081 | 2.59470611117e+54 | 7.41212323881e+53 | 3.14790216284e+54 | 2.63370822762e+55 |
|  20.2202281982 | 2.64603830131e+54 |  7.5108070427e+53 | 3.20860508002e+54 | 2.68581201346e+55 |
|  20.3203282883 | 2.69812462927e+54 | 7.61037481854e+53 | 3.27022026462e+54 | 2.73868127287e+55 |
|  20.4204283784 | 2.75097235525e+54 | 7.71083115773e+53 | 3.33275720308e+54 |  2.7923233752e+55 |
|  20.5205284685 | 2.80458877263e+54 | 7.81218065755e+53 |  3.3962254533e+54 | 2.84674572345e+55 |
|  20.6206285586 | 2.85898120798e+54 | 7.91442793146e+53 | 3.46063454434e+54 | 2.90195575432e+55 |
|  20.7207286486 | 2.91415702091e+54 | 8.01757759846e+53 | 3.52599409475e+54 | 2.95796093805e+55 |
|  20.8208287387 | 2.97012360437e+54 | 8.12163428914e+53 | 3.59231371279e+54 | 3.01476877871e+55 |
|  20.9209288288 | 3.02688838422e+54 | 8.22660264312e+53 | 3.65960306658e+54 | 3.07238681379e+55 |
|  21.0210289189 | 3.08445881948e+54 | 8.33248731031e+53 | 3.72787183831e+54 | 3.13082261443e+55 |
|   21.121129009 | 3.14284240224e+54 | 8.43929295214e+53 | 3.79712974391e+54 | 3.19008378531e+55 |
|  21.2212290991 | 3.20204665762e+54 | 8.54702423626e+53 |  3.8673865223e+54 | 3.25017796471e+55 |
|  21.3213291892 | 3.26207914382e+54 | 8.65568584158e+53 | 3.93865193813e+54 | 3.31111282439e+55 |
|  21.4214292793 |   3.322947452e+54 |  8.7652824566e+53 | 4.01093578972e+54 | 3.37289606966e+55 |
|  21.5215293694 | 3.38465920637e+54 | 8.87581877856e+53 | 4.08424788686e+54 | 3.43553543931e+55 |
|  21.6216294595 | 3.44722206409e+54 | 8.98729952106e+53 | 4.15859806873e+54 |  3.4990387056e+55 |
|  21.7217295495 | 3.51064371523e+54 | 9.09972939413e+53 | 4.23399619044e+54 | 3.56341367419e+55 |
|  21.8218296396 | 3.57493188299e+54 | 9.21311310852e+53 | 4.31045214035e+54 | 3.62866818438e+55 |
|  21.9219297297 | 3.64009432332e+54 | 9.32745541354e+53 | 4.38797580757e+54 |  3.6948101087e+55 |
